DATAFLOW,AUDST,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-07-01,INR,23.62
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-06-01,INR,23.11
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-05-01,INR,22.68
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-04-01,INR,21.59
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-03-31,INR,23.2
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-03-01,INR,20.97
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-02-01,INR,21.36
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-01-01,INR,22.22
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-12-01,INR,23.0
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-11-01,INR,22.65
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-10-01,INR,23.74
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-09-01,INR,24.44
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-08-01,INR,23.62
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-07-01,INR,24.28
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-06-01,INR,23.25
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-05-01,INR,23.64
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-04-01,INR,24.96
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-03-31,INR,24.1
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-03-01,INR,25.02
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-02-01,INR,24.7
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-01-01,INR,25.13
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-12-01,INR,24.93
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-11-01,INR,23.11
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-10-01,INR,23.56
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-09-01,INR,24.26
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-08-01,INR,23.93
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-07-01,INR,24.93
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-06-01,INR,23.33
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-05-01,INR,23.48
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-04-01,INR,22.6
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2023-03-31,INR,22.91
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2023-03-01,INR,22.21
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2023-02-01,INR,22.84
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2023-01-01,INR,23.28
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-12-01,INR,23.62
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-11-01,INR,23.34
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-10-01,INR,22.44
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-09-01,INR,22.76
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-08-01,INR,22.89
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-07-01,INR,22.04
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-06-01,INR,21.79
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-05-01,INR,22.45
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2023,2022,0,2022-04-01,INR,25.4
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2022-03-31,INR,29.53
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2022-03-01,INR,24.82
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2022-02-01,INR,25.75
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2022-01-01,INR,28.17
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-12-01,INR,27.17
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-11-01,INR,28.56
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-10-01,INR,31.08
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-09-01,INR,30.62
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-08-01,INR,30.0
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-07-01,INR,31.59
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-06-01,INR,32.15
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-05-01,INR,31.35
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2022,2021,0,2021-04-01,INR,33.5
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2021-03-31,INR,28.1
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2021-03-01,INR,34.94
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2021-02-01,INR,35.13
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2021-01-01,INR,33.68
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2020-12-01,INR,32.77
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2020-11-01,INR,30.45
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2020-10-01,INR,29.1
RBI:EARN_RAT_BSE_RN(1.0),N_A,M,AVG,2021,2020,0,2020-09-01,INR,28.09
