DATAFLOW,AUDST,BASE_PER,COMD_ITEM,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1960,C_GIAG,AFY,ANN_AVE,1986,1985,IW,1986-03-31,IX,619.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1960,C_GIAG,AFY,YR_END,1986,1985,IW,1986-03-31,IX,638.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1986,1985,IW,1986-03-31,IX,128.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1986,1985,IW,1986-03-31,IX,128.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1960,C_GIAG,AFY,ANN_AVE,1987,1986,IW,1987-03-31,IX,674.4166666666666
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1960,C_GIAG,AFY,YR_END,1987,1986,IW,1987-03-31,IX,686.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1987,1986,IW,1987-03-31,IX,141.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1987,1986,IW,1987-03-31,IX,141.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1960,C_GIAG,AFY,ANN_AVE,1988,1987,IW,1988-03-31,IX,735.5
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1960,C_GIAG,AFY,YR_END,1988,1987,IW,1988-03-31,IX,753.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1988,1987,IW,1988-03-31,IX,152.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1988,1987,IW,1988-03-31,IX,152.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1960,C_GIAG,AFY,ANN_AVE,1989,1988,IW,1989-03-31,IX,786.1666666666666
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1989,1988,IW,1989-03-31,IX,166.16666666666666
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1989,1988,IW,1989-03-31,IX,166.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1989,1988,IW,1989-03-31,IX,169.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1989,1988,IW,1989-03-31,IX,169.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1990,1989,IW,1990-03-31,IX,173.41666666666666
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1990,1989,IW,1990-03-31,IX,177.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1990,1989,IW,1990-03-31,IX,176.91666666666666
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1990,1989,IW,1990-03-31,IX,178.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1991,1990,IW,1991-03-31,IX,192.83333333333334
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1991,1990,IW,1991-03-31,IX,201.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1991,1990,IW,1991-03-31,IX,199.08333333333334
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1991,1990,IW,1991-03-31,IX,207.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1992,1991,IW,1992-03-31,IX,218.833333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1992,1991,IW,1992-03-31,IX,229.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1992,1991,IW,1992-03-31,IX,230.25
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1992,1991,IW,1992-03-31,IX,241.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1993,1992,IW,1993-03-31,IX,240.416666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1993,1992,IW,1993-03-31,IX,243.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1993,1992,IW,1993-03-31,IX,253.583333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1993,1992,IW,1993-03-31,IX,253.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1994,1993,IW,1994-03-31,IX,257.916666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1994,1993,IW,1994-03-31,IX,267.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1994,1993,IW,1994-03-31,IX,271.583333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1994,1993,IW,1994-03-31,IX,281.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1995,1994,IW,1995-03-31,IX,284.416666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1995,1994,IW,1995-03-31,IX,293.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,1995,1994,IW,1995-03-31,IX,233.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,1995,1994,IW,1995-03-31,IX,242.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1995,1994,IW,1995-03-31,IX,303.833333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1995,1994,IW,1995-03-31,IX,311.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,1995,1994,IW,1995-03-31,IX,248.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,1995,1994,IW,1995-03-31,IX,249.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,1995,1994,IW,1995-03-31,IX,243.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,1995,1994,IW,1995-03-31,IX,243.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,1995,1994,IW,1995-03-31,IX,280.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,1995,1994,IW,1995-03-31,IX,283.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,1995,1994,IW,1995-03-31,IX,378.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,1995,1994,IW,1995-03-31,IX,380.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1996,1995,IW,1996-03-31,IX,312.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1996,1995,IW,1996-03-31,IX,319.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,1996,1995,IW,1996-03-31,IX,252.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,1996,1995,IW,1996-03-31,IX,264.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1996,1995,IW,1996-03-31,IX,337.25
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1996,1995,IW,1996-03-31,IX,339.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,1996,1995,IW,1996-03-31,IX,260.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,1996,1995,IW,1996-03-31,IX,274.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,1996,1995,IW,1996-03-31,IX,254.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,1996,1995,IW,1996-03-31,IX,270.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,1996,1995,IW,1996-03-31,IX,294.166666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,1996,1995,IW,1996-03-31,IX,305.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,1996,1995,IW,1996-03-31,IX,396.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,1996,1995,IW,1996-03-31,IX,411.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1997,1996,IW,1997-03-31,IX,342.25
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1997,1996,IW,1997-03-31,IX,351.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,1997,1996,IW,1997-03-31,IX,270.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,1997,1996,IW,1997-03-31,IX,278.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1997,1996,IW,1997-03-31,IX,368.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1997,1996,IW,1997-03-31,IX,373.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,1997,1996,IW,1997-03-31,IX,295.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,1997,1996,IW,1997-03-31,IX,313.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,1997,1996,IW,1997-03-31,IX,280.5
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,1997,1996,IW,1997-03-31,IX,290.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,1997,1996,IW,1997-03-31,IX,321.833333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,1997,1996,IW,1997-03-31,IX,338.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,1997,1996,IW,1997-03-31,IX,431.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,1997,1996,IW,1997-03-31,IX,451.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1998,1997,IW,1998-03-31,IX,365.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1998,1997,IW,1998-03-31,IX,380.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,1998,1997,IW,1998-03-31,IX,285.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,1998,1997,IW,1998-03-31,IX,291.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1998,1997,IW,1998-03-31,IX,388.083333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1998,1997,IW,1998-03-31,IX,401.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,1998,1997,IW,1998-03-31,IX,328.083333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,1998,1997,IW,1998-03-31,IX,342.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,1998,1997,IW,1998-03-31,IX,304.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,1998,1997,IW,1998-03-31,IX,334.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,1998,1997,IW,1998-03-31,IX,354.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,1998,1997,IW,1998-03-31,IX,368.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,1998,1997,IW,1998-03-31,IX,479.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,1998,1997,IW,1998-03-31,IX,494.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,1999,1998,IW,1999-03-31,IX,413.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,1999,1998,IW,1999-03-31,IX,414.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,1999,1998,IW,1999-03-31,IX,295.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,1999,1998,IW,1999-03-31,IX,303.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,1999,1998,IW,1999-03-31,IX,444.833333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,1999,1998,IW,1999-03-31,IX,431.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,1999,1998,IW,1999-03-31,IX,353.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,1999,1998,IW,1999-03-31,IX,362.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,1999,1998,IW,1999-03-31,IX,388.5
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,1999,1998,IW,1999-03-31,IX,424.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,1999,1998,IW,1999-03-31,IX,385.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,1999,1998,IW,1999-03-31,IX,405.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,1999,1998,IW,1999-03-31,IX,515.083333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,1999,1998,IW,1999-03-31,IX,541.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,2000,1999,IW,2000-03-31,IX,427.833333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,2000,1999,IW,2000-03-31,IX,434.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,2000,1999,IW,2000-03-31,IX,305.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,2000,1999,IW,2000-03-31,IX,314.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,2000,1999,IW,2000-03-31,IX,446.083333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,2000,1999,IW,2000-03-31,IX,446.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,2000,1999,IW,2000-03-31,IX,378.583333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,2000,1999,IW,2000-03-31,IX,403.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,2000,1999,IW,2000-03-31,IX,436.5
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,2000,1999,IW,2000-03-31,IX,450.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,2000,1999,IW,2000-03-31,IX,416.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,2000,1999,IW,2000-03-31,IX,428.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,2000,1999,IW,2000-03-31,IX,565.25
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,2000,1999,IW,2000-03-31,IX,583.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,2001,2000,IW,2001-03-31,IX,444.166666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,2001,2000,IW,2001-03-31,IX,445.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,2001,2000,IW,2001-03-31,IX,314.833333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,2001,2000,IW,2001-03-31,IX,314.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,2001,2000,IW,2001-03-31,IX,452.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,2001,2000,IW,2001-03-31,IX,446.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,2001,2000,IW,2001-03-31,IX,454.416666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,2001,2000,IW,2001-03-31,IX,475.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,2001,2000,IW,2001-03-31,IX,462.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,2001,2000,IW,2001-03-31,IX,479.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,2001,2000,IW,2001-03-31,IX,441.833333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,2001,2000,IW,2001-03-31,IX,452.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,2001,2000,IW,2001-03-31,IX,591.583333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,2001,2000,IW,2001-03-31,IX,609.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,2002,2001,IW,2002-03-31,IX,463.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,2002,2001,IW,2002-03-31,IX,468.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,2002,2001,IW,2002-03-31,IX,325.166666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,2002,2001,IW,2002-03-31,IX,330.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,2002,2001,IW,2002-03-31,IX,465.916666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,2002,2001,IW,2002-03-31,IX,462.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,2002,2001,IW,2002-03-31,IX,483.25
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,2002,2001,IW,2002-03-31,IX,521.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,2002,2001,IW,2002-03-31,IX,513.5
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,2002,2001,IW,2002-03-31,IX,541.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,2002,2001,IW,2002-03-31,IX,463.25
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,2002,2001,IW,2002-03-31,IX,474.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,2002,2001,IW,2002-03-31,IX,619.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,2002,2001,IW,2002-03-31,IX,628.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,2003,2002,IW,2003-03-31,IX,481.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,2003,2002,IW,2003-03-31,IX,487.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,2003,2002,IW,2003-03-31,IX,332.166666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,2003,2002,IW,2003-03-31,IX,335.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,2003,2002,IW,2003-03-31,IX,477.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,2003,2002,IW,2003-03-31,IX,479.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,2003,2002,IW,2003-03-31,IX,533.916666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,2003,2002,IW,2003-03-31,IX,554.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,2003,2002,IW,2003-03-31,IX,555.75
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,2003,2002,IW,2003-03-31,IX,570.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,2003,2002,IW,2003-03-31,IX,489.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,2003,2002,IW,2003-03-31,IX,499.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,ANN_AVE,2003,2002,IW,2003-03-31,IX,632.5
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_PSTI,AFY,YR_END,2003,2002,IW,2003-03-31,IX,640.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,ANN_AVE,2004,2003,IW,2004-03-31,IX,500.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG,AFY,YR_END,2004,2003,IW,2004-03-31,IX,504.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,ANN_AVE,2004,2003,IW,2004-03-31,IX,338.333333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_CBF,AFY,YR_END,2004,2003,IW,2004-03-31,IX,342.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,ANN_AVE,2004,2003,IW,2004-03-31,IX,495.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FG,AFY,YR_END,2004,2003,IW,2004-03-31,IX,494.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,ANN_AVE,2004,2003,IW,2004-03-31,IX,566.666666666667
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_FL,AFY,YR_END,2004,2003,IW,2004-03-31,IX,590.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,ANN_AVE,2004,2003,IW,2004-03-31,IX,582.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_HO,AFY,YR_END,2004,2003,IW,2004-03-31,IX,592.0
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,ANN_AVE,2004,2003,IW,2004-03-31,IX,507.083333333333
RBI:CPI_IW_AV_YRND_RN(1.0),N_A,BY_1982,C_GIAG_MS,AFY,YR_END,2004,2003,IW,2004-03-31,IX,515.0
