DATAFLOW,AUDST,BASE_PER,COMD_ITEM,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,1996,1995,RL,1996-03-31,IX,237.8
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,1996,1995,RL,1996-03-31,IX,238.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,1996,1995,RL,1996-03-31,IX,256.4
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,1996,1995,RL,1996-03-31,IX,259.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,1996,1995,RL,1996-03-31,IX,239.6
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,1996,1995,RL,1996-03-31,IX,238.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,1996,1995,RL,1996-03-31,IX,208.2
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,1996,1995,RL,1996-03-31,IX,211.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,1996,1995,RL,1996-03-31,IX,227.2
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,1996,1995,RL,1996-03-31,IX,230.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,1996,1995,RL,1996-03-31,IX,249.6
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,1996,1995,RL,1996-03-31,IX,239.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,1997,1996,RL,1997-03-31,IX,256.25
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,1997,1996,RL,1997-03-31,IX,262.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,1997,1996,RL,1997-03-31,IX,267.833333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,1997,1996,RL,1997-03-31,IX,276.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,1997,1996,RL,1997-03-31,IX,260.166666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,1997,1996,RL,1997-03-31,IX,265.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,1997,1996,RL,1997-03-31,IX,221.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,1997,1996,RL,1997-03-31,IX,230.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,1997,1996,RL,1997-03-31,IX,241.583333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,1997,1996,RL,1997-03-31,IX,252.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,1997,1996,RL,1997-03-31,IX,275.833333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,1997,1996,RL,1997-03-31,IX,288.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,1998,1997,RL,1998-03-31,IX,265.916666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,1998,1997,RL,1998-03-31,IX,273.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,1998,1997,RL,1998-03-31,IX,282.833333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,1998,1997,RL,1998-03-31,IX,289.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,1998,1997,RL,1998-03-31,IX,265.25
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,1998,1997,RL,1998-03-31,IX,273.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,1998,1997,RL,1998-03-31,IX,241.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,1998,1997,RL,1998-03-31,IX,248.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,1998,1997,RL,1998-03-31,IX,261.166666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,1998,1997,RL,1998-03-31,IX,268.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,1998,1997,RL,1998-03-31,IX,299.75
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,1998,1997,RL,1998-03-31,IX,307.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,1999,1998,RL,1999-03-31,IX,294.25
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,1999,1998,RL,1999-03-31,IX,296.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,1999,1998,RL,1999-03-31,IX,296.5
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,1999,1998,RL,1999-03-31,IX,302.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,1999,1998,RL,1999-03-31,IX,299.75
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,1999,1998,RL,1999-03-31,IX,299.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,1999,1998,RL,1999-03-31,IX,255.166666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,1999,1998,RL,1999-03-31,IX,258.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,1999,1998,RL,1999-03-31,IX,277.833333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,1999,1998,RL,1999-03-31,IX,287.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,1999,1998,RL,1999-03-31,IX,321.916666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,1999,1998,RL,1999-03-31,IX,341.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,2000,1999,RL,2000-03-31,IX,307.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,2000,1999,RL,2000-03-31,IX,307.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,2000,1999,RL,2000-03-31,IX,307.5
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,2000,1999,RL,2000-03-31,IX,312.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,2000,1999,RL,2000-03-31,IX,311.25
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,2000,1999,RL,2000-03-31,IX,308.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,2000,1999,RL,2000-03-31,IX,263.166666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,2000,1999,RL,2000-03-31,IX,268.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,2000,1999,RL,2000-03-31,IX,297.833333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,2000,1999,RL,2000-03-31,IX,306.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,2000,1999,RL,2000-03-31,IX,351.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,2000,1999,RL,2000-03-31,IX,361.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,2001,2000,RL,2001-03-31,IX,307.083333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,2001,2000,RL,2001-03-31,IX,302.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,2001,2000,RL,2001-03-31,IX,319.5
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,2001,2000,RL,2001-03-31,IX,326.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,2001,2000,RL,2001-03-31,IX,303.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,2001,2000,RL,2001-03-31,IX,293.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,2001,2000,RL,2001-03-31,IX,291.916666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,2001,2000,RL,2001-03-31,IX,304.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,2001,2000,RL,2001-03-31,IX,310.5
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,2001,2000,RL,2001-03-31,IX,314.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,2001,2000,RL,2001-03-31,IX,362.666666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,2001,2000,RL,2001-03-31,IX,368.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,2002,2001,RL,2002-03-31,IX,311.166666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,2002,2001,RL,2002-03-31,IX,311.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,2002,2001,RL,2002-03-31,IX,334.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,2002,2001,RL,2002-03-31,IX,338.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,2002,2001,RL,2002-03-31,IX,303.416666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,2002,2001,RL,2002-03-31,IX,301.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,2002,2001,RL,2002-03-31,IX,309.75
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,2002,2001,RL,2002-03-31,IX,314.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,2002,2001,RL,2002-03-31,IX,318.833333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,2002,2001,RL,2002-03-31,IX,324.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,2002,2001,RL,2002-03-31,IX,366.583333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,2002,2001,RL,2002-03-31,IX,369.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,2003,2002,RL,2003-03-31,IX,320.916666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,2003,2002,RL,2003-03-31,IX,326.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,2003,2002,RL,2003-03-31,IX,344.666666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,2003,2002,RL,2003-03-31,IX,349.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,2003,2002,RL,2003-03-31,IX,312.5
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,2003,2002,RL,2003-03-31,IX,318.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,2003,2002,RL,2003-03-31,IX,324.833333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,2003,2002,RL,2003-03-31,IX,329.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,ANN_AVE,2003,2002,RL,2003-03-31,IX,329.916666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_MS,AFY,YR_END,2003,2002,RL,2003-03-31,IX,334.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,ANN_AVE,2003,2002,RL,2003-03-31,IX,375.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_PSTI,AFY,YR_END,2003,2002,RL,2003-03-31,IX,382.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,ANN_AVE,2004,2003,RL,2004-03-31,IX,333.083333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG,AFY,YR_END,2004,2003,RL,2004-03-31,IX,334.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,ANN_AVE,2004,2003,RL,2004-03-31,IX,355.416666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_CBF,AFY,YR_END,2004,2003,RL,2004-03-31,IX,361.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,ANN_AVE,2004,2003,RL,2004-03-31,IX,325.583333333333
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FG,AFY,YR_END,2004,2003,RL,2004-03-31,IX,324.0
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,ANN_AVE,2004,2003,RL,2004-03-31,IX,333.916666666667
RBI:CPI_RL_AV_YRND_RN(1.0),N_A,BY_1986-87,C_GIAG_FL,AFY,YR_END,2004,2003,RL,2004-03-31,IX,339.0
