DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_CURR_ASST,ICC_MFG,CURR_YR,2013,2012,0,2013-03-31,PT,8.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_CURR_ASST,ICC_MFG,PREV_YR,2013,2012,0,2013-03-31,PT,13.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_CURR_ASST,ICC_MFG_CHEM_CD,CURR_YR,2013,2012,0,2013-03-31,PT,6.7
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_CURR_ASST,ICC_MFG_CHEM_CD,PREV_YR,2013,2012,0,2013-03-31,PT,11.5
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,33,AFY,GRP_CURR_ASST,ICC_MFG_EM_APPR,CURR_YR,2013,2012,0,2013-03-31,PT,7.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,33,AFY,GRP_CURR_ASST,ICC_MFG_EM_APPR,PREV_YR,2013,2012,0,2013-03-31,PT,9.1
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,35,AFY,GRP_CURR_ASST,ICC_MFG_FP_BV,CURR_YR,2013,2012,0,2013-03-31,PT,19.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,35,AFY,GRP_CURR_ASST,ICC_MFG_FP_BV,PREV_YR,2013,2012,0,2013-03-31,PT,19.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,49,AFY,GRP_CURR_ASST,ICC_MFG_MTR_VEH_OTH_TRAN,CURR_YR,2013,2012,0,2013-03-31,PT,-6.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,49,AFY,GRP_CURR_ASST,ICC_MFG_MTR_VEH_OTH_TRAN,PREV_YR,2013,2012,0,2013-03-31,PT,19.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,21,AFY,GRP_CURR_ASST,ICC_MFG_RUB_PLAS_PROD,CURR_YR,2013,2012,0,2013-03-31,PT,12.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,21,AFY,GRP_CURR_ASST,ICC_MFG_RUB_PLAS_PROD,PREV_YR,2013,2012,0,2013-03-31,PT,22.2
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,375,AFY,GRP_CURR_ASST,ICC_SRV,CURR_YR,2013,2012,0,2013-03-31,PT,8.5
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,375,AFY,GRP_CURR_ASST,ICC_SRV,PREV_YR,2013,2012,0,2013-03-31,PT,16.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,90,AFY,GRP_CURR_ASST,ICC_SRV_CRA,CURR_YR,2013,2012,0,2013-03-31,PT,18.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,90,AFY,GRP_CURR_ASST,ICC_SRV_CRA,PREV_YR,2013,2012,0,2013-03-31,PT,22.4
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,44,AFY,GRP_CURR_ASST,ICC_SRV_TSCO,CURR_YR,2013,2012,0,2013-03-31,PT,21.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,44,AFY,GRP_CURR_ASST,ICC_SRV_TSCO,PREV_YR,2013,2012,0,2013-03-31,PT,-17.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,74,AFY,GRP_CURR_ASST,ICC_SRV_WHL_RET_TRD,CURR_YR,2013,2012,0,2013-03-31,PT,22.5
